semana,I_global
202048,0.5984686310734075
202049,0.676069615096981
202050,0.6299742531311716
202051,0.6146175928613349
202052,0.5455480037914224
202053,0.5229625343717715
202016,0.14772361642958753
202017,0.3122648996959766
202018,0.32101877251260524
202019,0.5345847799480176
202020,0.5919172462194294
202021,0.5480118508077237
202022,0.5478295367952958
202023,0.5940638628706867
202024,0.6193182146502005
202025,0.5911565214176785
202026,0.6534909316636844
202027,0.5067059301431774
202028,0.4092059696403524
202029,0.41147276842832964
202030,0.33673886028753264
202031,0.37280371914550764
202032,0.3515138673954444
202101,0.6115040850574507
202102,0.5092865861552488
202103,0.4490976076296183
202104,0.22629490735833638
202105,0.4420675258223645
202106,0.4229260162039556
202107,0.44477116008165496
202108,0.6557876364600511
202109,0.660100867622859
202110,0.6361600327359956
202111,0.42916776403045104
